preco;condominio;area;quartos;vagas;banheiros;link;imobiliaria;data_scrape;bairro;status;tipo;last_seen
2480000.0;;742.0;3;4;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/clube-de-campo/residencial-comprar-clube-de-campo-em-piracicaba/148466;Frias_neto;2023-11-29;Clube_de_campo;Compra;Casa;2024-02-12
2450000.0;;640.0;3;3;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/vila-rezende/residencial-comprar-vila-rezende-em-piracicaba/83687;Frias_neto;2023-10-30;Vila_rezende;Compra;Casa;2024-02-12
2450000.0;;445.99;5;2;7;https://www.friasneto.com.br/comprar/residencial/piracicaba/villa-d'aquila/residencial-comprar-villa-d'aquila-em-piracicaba/144947;Frias_neto;2023-10-30;Villa_daquila;Compra;Apartamento;2023-10-31
2400000.0;;256.0;4;6;4;https://www.friasneto.com.br/comprar/residencial/piracicaba/clube-de-campo/residencial-comprar-clube-de-campo-em-piracicaba/148238;Frias_neto;2023-10-30;Clube_de_campo;Compra;Apartamento;2023-10-31
2400000.0;;360.0;0;0;3;https://www.friasneto.com.br/comprar/comercial/piracicaba/nova-piracicaba/comercial-comprar-nova-piracicaba-em-piracicaba/148042;Frias_neto;2023-10-30;Nova_piracicaba;Compra;Casa;2023-11-30
2400000.0;;357.21;0;4;0;https://www.friasneto.com.br/comprar/residencial/piracicaba/nova-piracicaba/residencial-comprar-nova-piracicaba-em-piracicaba/81485;Frias_neto;2023-10-30;Nova_piracicaba;Compra;Casa;2024-02-12
2400000.0;;325.4;4;4;4;https://www.friasneto.com.br/comprar/residencial/piracicaba/reserva-jequitiba/residencial-comprar-reserva-jequitiba-em-piracicaba/146609;Frias_neto;2023-10-30;Reserva_jequitiba;Compra;Apartamento;2023-10-31
2400000.0;;445.89;3;4;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/villa-bela-vista/residencial-comprar-villa-bela-vista-em-piracicaba/145307;Frias_neto;2023-10-30;Villa_bela_vista;Compra;Apartamento;2023-10-31
2390000.0;;1000.0;4;5;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/campestre/residencial-comprar-campestre-em-piracicaba/147886;Frias_neto;2023-11-29;Campestre;Compra;Apartamento;2024-02-12
2350000.0;;374.0;3;4;3;https://www.friasneto.com.br/comprar/residencial/piracicaba/reserva-do-engenho/residencial-comprar-reserva-do-engenho-em-piracicaba/145514;Frias_neto;2023-10-30;Reserva_do_engenho;Compra;Apartamento;2024-02-12
2330000.0;;360.0;4;4;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/reserva-do-engenho/residencial-comprar-reserva-do-engenho-em-piracicaba/148494;Frias_neto;2024-01-17;Reserva_do_engenho;Compra;Apartamento;2024-02-12
2320000.0;;478.7;3;4;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/alphaville/residencial-comprar-alphaville-em-piracicaba/143085;Frias_neto;2023-10-30;Alphaville;Compra;Apartamento;2024-02-12
2300000.0;;5400.0;0;20;0;https://www.friasneto.com.br/comprar/comercial/piracicaba/campestre/comercial-comprar-campestre-em-piracicaba/145744;Frias_neto;2023-10-30;Campestre;Compra;Casa;2024-02-12
2300000.0;;244.71;4;5;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/centro/residencial-comprar-centro-em-piracicaba/148254;Frias_neto;2023-10-30;Centro;Compra;Apartamento;2024-02-12
2300000.0;;596.25;0;4;5;https://www.friasneto.com.br/comprar/comercial/piracicaba/higienopolis/comercial-comprar-higienopolis-em-piracicaba/143142;Frias_neto;2023-10-30;Higienopolis;Compra;Casa;2024-02-12
2300000.0;;433.5;0;4;12;https://www.friasneto.com.br/comprar/comercial/piracicaba/alto/comercial-comprar-alto-em-piracicaba/140439;Frias_neto;2023-10-30;Alto;Compra;Casa;2024-02-12
2300000.0;;2000.0;4;5;8;https://www.friasneto.com.br/comprar/residencial/piracicaba/artemis/residencial-comprar-artemis-em-piracicaba/46795;Frias_neto;2023-10-30;Artemis;Compra;Apartamento;2024-02-12
