preco;area;quartos;vagas;banheiros;link;Imobiliaria;bairro;Data_scrape;last_seen
593.02;26.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-capim_fino-sala_comercial-22197;Junqueira;Capim_fino;2023-10-07;2023-10-07
593.02;26.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-capim_fino-sala_comercial-22199;Junqueira;Capim_fino;2023-10-07;2023-10-07
600.0;7.05;0;0;0;https://www.duoimoveis.com.br/imovel/sala-de-7-m-alto-piracicaba/SA0466-003?from=sale;duo imoveis;Alto;2023-10-07;2023-12-13
600.0;7.05;0;0;0;https://www.duoimoveis.com.br/imovel/sala-de-7-m-alto-piracicaba/sa0466-003?from=sale;duo imoveis;Alto;2023-11-01;2023-11-03
600.0;8.2;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-centro-sala_comercial-24201;Junqueira;Centro;2023-10-07;2023-10-07
600.0;10.0;0;0;1;https://www.duoimoveis.com.br/imovel/sala-de-10-m-nova-america-piracicaba/SA0356-003?from=sale;duo imoveis;Nova_america;2023-10-07;2023-12-18
600.0;10.0;0;0;1;https://www.duoimoveis.com.br/imovel/sala-de-10-m-nova-america-piracicaba/sa0356-003?from=sale;duo imoveis;Nova_america;2023-11-01;2023-11-03
600.0;10.9;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-vila_independencia-sala_comercial-23870;Junqueira;Vila_independencia;2023-10-07;2023-10-07
600.0;15.3;0;0;0;https://www.duoimoveis.com.br/imovel/sala-de-15-m-vila-independencia-piracicaba/SA0490-003?from=sale;duo imoveis;Vila_independencia;2023-10-07;2023-12-18
600.0;15.3;0;0;0;https://www.duoimoveis.com.br/imovel/sala-de-15-m-vila-independencia-piracicaba/sa0490-003?from=sale;duo imoveis;Vila_independencia;2023-11-01;2023-11-03
600.0;15.75;0;0;1;https://www.duoimoveis.com.br/imovel/sala-de-16-m-nova-america-piracicaba/SA0354-003?from=sale;duo imoveis;Nova_america;2023-10-07;2023-12-18
600.0;15.75;0;0;1;https://www.duoimoveis.com.br/imovel/sala-de-16-m-nova-america-piracicaba/sa0354-003?from=sale;duo imoveis;Nova_america;2023-11-01;2023-11-03
600.0;16.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-cidade_alta-sala_comercial-24935;Junqueira;Cidade_alta;2023-10-07;2023-10-07
600.0;18.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-santa_terezinha-salao-1388;Junqueira;Santa_terezinha;2023-10-07;2023-10-07
600.0;22.0;0;0;1;https://www.friasneto.com.br/alugar/comercial/piracicaba/alemaes/comercial-alugar-alemaes-em-piracicaba/6889;Frias Neto;Alemaes;2023-10-07;2023-12-18
600.0;25.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-centro-sala_comercial-17969;Junqueira;Centro;2023-10-07;2023-10-07
600.0;25.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-centro-sala_comercial-6010;Junqueira;Centro;2023-10-07;2023-10-07
600.0;35.0;1;0;1;https://www.duoimoveis.com.br/imovel/casa-de-35-m-com-1-quarto-centro-piracicaba/CA5189-003?from=sale;duo imoveis;Centro;2023-10-07;2023-12-12
600.0;35.0;1;0;1;https://www.duoimoveis.com.br/imovel/casa-de-35-m-com-1-quarto-centro-piracicaba/ca5189-003?from=sale;duo imoveis;Centro;2023-11-01;2023-11-03
600.0;35.57;0;0;1;https://www.duoimoveis.com.br/imovel/sala-de-36-m-centro-piracicaba/SA0282-003?from=sale;duo imoveis;Centro;2023-10-07;2023-12-18
600.0;35.57;0;0;1;https://www.duoimoveis.com.br/imovel/sala-de-36-m-centro-piracicaba/sa0282-003?from=sale;duo imoveis;Centro;2023-11-01;2023-11-03
600.0;40.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-jardim_sao_luiz-sala_comercial-25060;Junqueira;Jardim_sao_luiz;2023-10-07;2023-10-07
600.0;45.0;2;1;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-piazza_san_pietro-apartamento-4176;Junqueira;Piazza_san_pietro;2023-10-07;2023-10-07
